annee;jourDebut;jourFin;parcelle;couvert;itk;delta_Corg[kg_eqCO2/ha];tx_MO_fin[%];emissions_N2O_denit[kg_eqCO2/ha];emissions_N2O_nit[kg_eqCO2/ha];emissions_volat[kg_eqCO2/ha];emissions_lixiv[kg_eqCO2/ha];emissions_ferti[kg_eqCO2/ha];bilan_net_GES[kg_eqCO2/ha];ratio_Corg_Arg[%]
2018;213;365;109_001;solnu;;1480.14;0.76;19.53;8.25;0.0;154.71;0.0;1662.63;0.02
2018;213;365;110_001;solnu;;1480.14;0.76;19.53;8.25;0.0;154.71;0.0;1662.63;0.02
2018;213;365;111_001;solnu;;1480.14;0.76;19.53;8.25;0.0;154.71;0.0;1662.63;0.02
2018;213;365;112_001;solnu;;1527.92;0.84;18.09;8.38;0.0;155.41;0.0;1709.79;0.03
2018;213;365;113_001;solnu;;1597.42;0.84;19.21;8.84;0.0;157.27;0.0;1782.74;0.03
2018;213;365;114_001;solnu;;1466.79;0.76;19.11;8.15;0.0;154.32;0.0;1648.36;0.03
2018;213;365;115_001;solnu;;1480.14;0.76;19.53;8.25;0.0;154.71;0.0;1662.63;0.02
2018;213;365;116_001;solnu;;1466.79;0.76;19.11;8.15;0.0;154.32;0.0;1648.36;0.03
2018;213;365;117_001;solnu;;1480.14;0.76;19.53;8.25;0.0;154.71;0.0;1662.63;0.02
2018;213;365;118_001;solnu;;1466.79;0.76;19.11;8.15;0.0;154.32;0.0;1648.36;0.03
2018;213;365;119_001;solnu;;1480.14;0.76;19.53;8.25;0.0;154.71;0.0;1662.63;0.02
2018;213;365;120_001;solnu;;1527.92;0.84;18.09;8.38;0.0;155.41;0.0;1709.79;0.03
2018;213;365;121_001;solnu;;1597.42;0.84;19.21;8.84;0.0;157.27;0.0;1782.74;0.03
2018;213;365;122_001;solnu;;1527.92;0.84;18.09;8.38;0.0;155.41;0.0;1709.79;0.03
2018;213;365;123_001;solnu;;1597.42;0.84;19.21;8.84;0.0;157.27;0.0;1782.74;0.03
2018;213;365;124_001;solnu;;1480.14;0.76;19.53;8.25;0.0;154.71;0.0;1662.63;0.02
2018;213;365;125_001;solnu;;1466.79;0.76;19.11;8.15;0.0;154.32;0.0;1648.36;0.03
2018;213;365;126_001;solnu;;1480.14;0.76;19.53;8.25;0.0;154.71;0.0;1662.63;0.02
2018;213;365;127_001;solnu;;1480.14;0.76;19.53;8.25;0.0;154.71;0.0;1662.63;0.02
2018;213;365;128_001;solnu;;1480.14;0.76;19.53;8.25;0.0;154.71;0.0;1662.63;0.02
2018;213;365;129_001;solnu;;1466.79;0.76;19.11;8.15;0.0;154.32;0.0;1648.36;0.03
2018;213;365;130_001;solnu;;1480.14;0.76;19.53;8.25;0.0;154.71;0.0;1662.63;0.02
2018;213;365;131_001;solnu;;1480.14;0.76;19.53;8.25;0.0;154.71;0.0;1662.63;0.02
2018;213;365;132_001;solnu;;1466.79;0.76;19.11;8.15;0.0;154.32;0.0;1648.36;0.03
2018;213;365;133_001;solnu;;1480.14;0.76;19.53;8.25;0.0;154.71;0.0;1662.63;0.02
2018;213;365;134_001;solnu;;1466.79;0.76;19.11;8.15;0.0;154.32;0.0;1648.36;0.03
2018;213;365;135_001;solnu;;1480.14;0.76;19.53;8.25;0.0;154.71;0.0;1662.63;0.02
2018;213;365;136_001;solnu;;1466.79;0.76;19.11;8.15;0.0;154.32;0.0;1648.36;0.03
2018;213;365;137_001;solnu;;1480.14;0.76;19.53;8.25;0.0;154.71;0.0;1662.63;0.02
2018;213;365;138_001;solnu;;1466.79;0.76;19.11;8.15;0.0;154.32;0.0;1648.36;0.03
2018;213;365;139_001;solnu;;1480.14;0.76;19.53;8.25;0.0;154.71;0.0;1662.63;0.02
2018;213;365;140_001;solnu;;1466.79;0.76;19.11;8.15;0.0;154.32;0.0;1648.36;0.03
2018;213;365;141_001;solnu;;1480.14;0.76;19.53;8.25;0.0;154.71;0.0;1662.63;0.02
2018;213;365;142_001;solnu;;1466.79;0.76;19.11;8.15;0.0;154.32;0.0;1648.36;0.03
2018;213;365;143_001;solnu;;1480.14;0.76;19.53;8.25;0.0;154.71;0.0;1662.63;0.02
2018;213;365;144_001;solnu;;1637.78;0.74;19.55;9.56;0.0;160.07;0.0;1826.96;0.02
2018;213;365;145_001;solnu;;1597.07;0.73;20.49;9.28;0.0;158.86;0.0;1785.7;0.02
2018;213;365;146_001;solnu;;1597.07;0.73;20.49;9.28;0.0;158.86;0.0;1785.7;0.02
2018;213;365;147_001;solnu;;1637.78;0.74;19.55;9.56;0.0;160.07;0.0;1826.96;0.02
2018;213;365;148_001;solnu;;1597.07;0.73;20.49;9.28;0.0;158.86;0.0;1785.7;0.02
2018;213;365;149_001;solnu;;1466.79;0.76;19.11;8.15;0.0;154.32;0.0;1648.36;0.03
2018;213;365;150_001;solnu;;1480.14;0.76;19.53;8.25;0.0;154.71;0.0;1662.63;0.02
2018;213;365;153_001;solnu;;1466.79;0.76;19.11;8.15;0.0;154.32;0.0;1648.36;0.03
2018;213;365;154_001;solnu;;1480.14;0.76;19.53;8.25;0.0;154.71;0.0;1662.63;0.02
2018;213;365;155_001;solnu;;1480.14;0.76;19.53;8.25;0.0;154.71;0.0;1662.63;0.02
2018;213;365;156_001;solnu;;1480.14;0.76;19.53;8.25;0.0;154.71;0.0;1662.63;0.02
2018;213;365;157_001;solnu;;1466.79;0.76;19.11;8.15;0.0;154.32;0.0;1648.36;0.03
2018;213;365;158_001;solnu;;1480.14;0.76;19.53;8.25;0.0;154.71;0.0;1662.63;0.02
2018;213;365;159_001;solnu;;1466.79;0.76;19.11;8.15;0.0;154.32;0.0;1648.36;0.03
2018;213;365;160_001;solnu;;1480.14;0.76;19.53;8.25;0.0;154.71;0.0;1662.63;0.02
2018;213;365;161_001;solnu;;1466.79;0.76;19.11;8.15;0.0;154.32;0.0;1648.36;0.03
2018;213;365;162_001;solnu;;1480.14;0.76;19.53;8.25;0.0;154.71;0.0;1662.63;0.02
2018;213;365;163_001;solnu;;1466.79;0.76;19.11;8.15;0.0;154.32;0.0;1648.36;0.03
2018;213;365;164_001;solnu;;1480.14;0.76;19.53;8.25;0.0;154.71;0.0;1662.63;0.02
2018;213;365;165_001;solnu;;1466.79;0.76;19.11;8.15;0.0;154.32;0.0;1648.36;0.03
2018;213;365;166_001;solnu;;1480.14;0.76;19.53;8.25;0.0;154.71;0.0;1662.63;0.02
2018;213;365;167_001;solnu;;1466.79;0.76;19.11;8.15;0.0;154.32;0.0;1648.36;0.03
2018;213;365;168_001;solnu;;1480.14;0.76;19.53;8.25;0.0;154.71;0.0;1662.63;0.02
2018;213;365;169_001;solnu;;1527.92;0.84;18.09;8.38;0.0;155.41;0.0;1709.79;0.03
2018;213;365;170_001;solnu;;1597.42;0.84;19.21;8.84;0.0;157.27;0.0;1782.74;0.03
2018;213;365;171_001;solnu;;1597.42;0.84;19.21;8.84;0.0;157.27;0.0;1782.74;0.03
2018;213;365;172_001;solnu;;1466.79;0.76;19.11;8.15;0.0;154.32;0.0;1648.36;0.03
2018;213;365;173_001;solnu;;1480.14;0.76;19.53;8.25;0.0;154.71;0.0;1662.63;0.02
