RECOLTE_TEMPS_INTERNE;NA;N;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
RECOLTE_NB_SOUS_PERIODES;[NA];1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
RECOLTE_DEBUT;[jour];1;258;258;258;258;258;258;258;258;258;258;258;258;258;258
RECOLTE_FIN;[jour];366;324;324;324;324;324;324;324;324;324;324;324;324;324;324
RECOLTE_ECHV_MIN;[mm];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
RECOLTE_JOURS_PLUIE;[jour];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
RECOLTE_HAUTEURS_PLUIE_MAX;[mm];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
RECOLTE_HUMIDITE_SOL_MAX;[%];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
RECOLTE_EFFET_RUs;[?];NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RECOLTE_OPERATEUR;[NA];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
RECOLTE_TEMPERATURE_MIN;[C];N;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
RECOLTE_JOURS_TEMP_MIN;[jour];N;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
RECOLTE_TEMPERATURE_MAX;[C];N;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
RECOLTE_JOURS_TEMP_MAX;[jour];N;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
RECOLTE_TEMPERATURE_MAX_INF;[C];N;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
RECOLTE_JOURS_TEMP_MAX_INF;[jour];N;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
IS_IRRIGATION;[NA];N;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
IRRIGATION_PASSAGES;[NA];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
IRRIGATION_OUTIL;[nom];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
IRRIGATION_AGRIW;[bool];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
IRRIGATION_TD;[jours];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
IRRIGATION_DOSE;[mm];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
IRRIGATION_NB_SOUS_PERIODES;[NA];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
IRRIGATION_DEBUT;[jour];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
IRRIGATION_FIN;[jour];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
IRRIGATION_ECHV_DEBUT;[echV];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
IRRIGATION_ECHV_FIN;[echV];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
IRRIGATION_JOURS_PLUIE_CUMUL;[jour];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
IRRIGATION_HAUTEUR_PLUIE_CUMUL_ANNULATION;[mm];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
IRRIGATION_JOURS_PLUIE_SIGNIF;[jour];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
IRRIGATION_HAUTEUR_PLUIE_SIGNIF_REPORT;[mm];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
IRRIGATION_JOURS_PLUIE_PREVUES;[jour];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
IRRIGATION_HAUTEURS_PLUIE_PREVUES_MIN;[mm];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
IRRIGATION_JOURS_P-ETP;[jour];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
IRRIGATION_P-ETP_MAX;[mm];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
IRRIGATION_HUMIDITE_SOL_MAX;[%];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
IRRIGATION_IS_THEORIQUE;[NA];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
IRRIGATION_SIRR1;[?];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
IRRIGATION_SIRR2;[?];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
IRRIGATION_SIRR3;[?];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
IRRIGATION_OPERATEUR;[NA];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
IRRIGATION_REPORT_MAX;[jour];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
IRRIGATION_GROUPE;[];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
IRRIGATION_TEMPERATURE_MIN;[C];N;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
IRRIGATION_JOURS_TEMP_MIN;[jour];N;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
IRRIGATION_TEMPERATURE_MAX;[C];N;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
IRRIGATION_JOURS_TEMP_MAX;[jour];N;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
IRRIGATION_TEMPERATURE_MAX_INF;[C];N;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
IRRIGATION_JOURS_TEMP_MAX_INF;[jour];N;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
IS_FERTI;[?];;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
FERTI_PASSAGES;[NA];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
FERTI_OUTIL;[nom];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
FERTI_AGRIW;[bool];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
FERTI_NB_SOUS_PERIODES;[?];;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
FERTI_TEMPS;[ha/h];;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
FERTI_DEBUT;[jour];;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
FERTI_FIN;[jour];;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
FERTI_DOSE/Ha;[kg/ha];;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
FERTI_JOURS_PLUIE_OBS_MIN;[jour];;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
FERTI_HAUTEURS_PLUIE_OBS_MIN;[mm];;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
FERTI_ECHV_DEBUT;[echV];;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
FERTI_ECHV_FIN;[echV];;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
FERTI_TEMPERATURE_MIN;[C];N;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
FERTI_JOURS_TEMP_MIN;[jour];N;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
FERTI_TEMPERATURE_MAX;[C];N;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
FERTI_JOURS_TEMP_MAX;[jour];N;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
FERTI_TEMPERATURE_MAX_INF;[C];N;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
FERTI_JOURS_TEMP_MAX_INF;[jour];N;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
IS_PHYTO;[?];;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PHYTO_PASSAGES;[NA];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PHYTO_OUTIL;[nom];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PHYTO_AGRIW;[bool];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PHYTO_TEMPS;[Ha/h];;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PHYTO_DOSE/Ha;[dose/Ha];;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PHYTO_NB_SOUS_PERIODES;[?];;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PHYTO_DEBUT;[jour];;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PHYTO_FIN;[jour];;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PHYTO_HUMIDITE_SOL_MAX;[%];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PHYTO_JOURS_PLUIE_OBS;[jour];;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PHYTO_HAUTEURS_PLUIE_OBS_MIN;[mm];;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PHYTO_JOURS_PLUIE_PREVUES;[jour];;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PHYTO_HAUTEURS_PLUIE_PREVUES_MIN;[mm];;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PHYTO_TEMPERATURE_MIN;[C];N;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PHYTO_JOURS_TEMP_MIN;[jour];N;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PHYTO_TEMPERATURE_MAX;[C];N;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PHYTO_JOURS_TEMP_MAX;[jour];N;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PHYTO_TEMPERATURE_MAX_INF;[C];N;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PHYTO_JOURS_TEMP_MAX_INF;[jour];N;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PHYTO_JOURS_HYGROMETERIE;[jour];N;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PHYTO_HYGROMETERIE;[pourcentage];N;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
IS_PREPA_2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PREPA_PASSAGES_2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PREPA_OUTIL_2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PREPA_AGRIW_2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PREPA_NB_SOUS_PERIODES_2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PREPA_TEMPS_2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PREPA_DEBUT_2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PREPA_FIN_2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PREPA_JOURS_P-ETP_MIN_2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PREPA_P-ETP_MIN_2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PREPA_JOURS_PLUIE_2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PREPA_HAUTEURS_PLUIE_MAX_2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PREPA_HUMIDITE_SOL_MAX_2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
