idPolygone;date;precipitation;tmin;tmax;etp;rayonnement
1;24/02/2020;0.0;22.94;40.11;6.162360594437044;15.54
1;25/02/2020;0.0;25.79;38.48;11.048421200257769;20.18
1;26/02/2020;0.0;27.21;39.98;12.604166260076521;22.2
1;27/02/2020;0.0;23.68;40.34;8.530645931309166;24.33
1;28/02/2020;0.0;20.22;40.46;7.480282730499158;24.96
1;29/02/2020;0.0;20.71;39.42;7.844561876946609;24.59
1;01/03/2020;0.0;17.83;32.22;6.905907555352839;23.57
1;02/03/2020;0.0;16.74;39.6;3.648524075773244;24.69
1;03/03/2020;0.0;21.99;40.99;8.590604179378742;24.95
1;04/03/2020;0.0;24.34;35.94;8.556201921661104;25.36
1;05/03/2020;0.0;20.65;37.31;5.643136776654715;26.13
1;06/03/2020;0.0;21.9;39.18;6.603359412159444;25.72
1;07/03/2020;0.0;24.68;38.88;5.52150891976355;10.2598164
1;08/03/2020;0.0;26.15;32.75;3.978769013099783;24.78
1;09/03/2020;0.202;24.03;31.18;3.9629358267389856;12.6338742
1;10/03/2020;0.0;25.44;38.64;4.527397564110442;12.1222044
1;11/03/2020;0.0;16.9;41.65;5.241816223565071;23.83
1;12/03/2020;0.0;18.14;37.09;4.206394182127205;25.67
1;13/03/2020;0.0;21.48;39.99;8.356063639953373;24.45
1;14/03/2020;0.0;21.86;39.0;7.630245437034116;24.42
1;15/03/2020;0.0;18.99;37.05;4.866318093970791;25.69
1;16/03/2020;0.0;18.96;37.59;6.134328110898128;25.36
1;17/03/2020;0.0;17.98;37.71;5.319722472875674;24.94
1;18/03/2020;0.0;18.43;36.47;4.478787091255734;25.04
1;19/03/2020;0.0;18.34;38.04;5.658885196333784;25.35
1;20/03/2020;0.0;18.75;40.26;6.635757327557746;24.54
1;21/03/2020;0.0;19.95;39.41;6.784758789144066;25.5
1;22/03/2020;0.0;20.99;37.16;7.103928118462246;25.22
1;23/03/2020;0.0;18.58;33.35;5.832778786568497;25.39
1;24/03/2020;0.0;16.54;33.28;5.532220652617485;25.66
1;25/03/2020;0.0;16.4;37.83;5.655824714842162;25.51
1;26/03/2020;0.0;18.05;38.83;6.065064968729575;25.79
1;27/03/2020;0.0;19.12;36.05;6.30980165441083;25.58
1;28/03/2020;0.0;18.79;36.14;6.560853783793346;24.76
1;29/03/2020;0.0;20.39;39.44;7.149857738532464;24.73
1;30/03/2020;0.0;22.41;40.87;7.507326922231977;26.56
1;31/03/2020;0.0;16.25;36.34;8.556626529599798;26.3
1;01/04/2020;0.0;19.63;31.48;7.13846723859278;24.92
1;02/04/2020;0.0;15.91;37.92;4.974067569400424;25.8
