annee;jourDebut;jourFin;parcelle;couvert;itk;evaporation[mm];transpiration[mm];percolation[mm];capilarite[mm];ruissellement[mm];Hr_debut[mm];Hm_debut[mm];Hr_fin[mm];Hm_fin[mm];Hr_1erJanv[mm];Hm_1erJanv[mm];satisfactionHydrique[%];pluie[mm];irrigation[mm];sommeDegresJourCulture[°C]
2019;1;151;619_001;solnu;;144.96;0.0;0.0;0.0;0.0;0.0;49.58;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019;152;258;619_001;mil;mil_precarachide;125.74;9.61;231.62;12.22;0.0;0.0;0.0;61.35;61.35;0.0;0.0;37.91;397.33;0.0;1789.99
2019;259;365;619_001;solnu;;115.84;0.0;65.52;23.33;0.0;61.35;61.35;0.0;0.0;0.0;0.0;0.0;115.72;0.0;0.0
2019;1;151;719_001;solnu;;144.96;0.0;0.0;0.0;0.0;0.0;49.36;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019;152;258;719_001;mil;mil_precarachide;125.73;9.63;231.92;12.24;0.0;0.0;0.0;61.07;61.07;0.0;0.0;37.92;397.33;0.0;1789.99
2019;259;365;719_001;solnu;;115.79;0.0;65.55;23.12;0.0;61.07;61.07;0.0;0.0;0.0;0.0;0.0;115.72;0.0;0.0
2020;1;151;19_001;solnu;;155.09;0.0;0.0;0.0;0.0;0.0;49.27;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2020;152;258;19_001;arachide;arachide_precmil;178.03;0.04;274.4;19.59;0.0;0.0;0.0;61.59;61.59;0.0;0.0;60.16;496.62;0.0;2010.58
2020;259;366;19_001;solnu;;118.27;0.0;63.52;17.15;0.0;61.59;60.95;0.0;0.0;0.0;0.0;0.0;102.72;0.0;0.0
2020;1;151;119_001;solnu;;155.09;0.0;0.0;0.0;0.0;0.0;49.58;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2020;152;258;119_001;arachide;arachide_precmil;178.05;0.04;273.98;19.69;0.0;0.0;0.0;61.98;61.98;0.0;0.0;60.18;496.62;0.0;2010.58
2020;259;366;119_001;solnu;;118.36;0.0;63.52;17.51;0.0;61.98;61.35;0.0;0.0;0.0;0.0;0.0;102.72;0.0;0.0
2020;1;151;219_001;solnu;;155.09;0.0;0.0;0.0;0.0;0.0;51.73;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2020;152;258;219_001;arachide;arachide_precmil;178.11;0.04;271.23;19.9;0.0;0.0;0.0;64.66;64.66;0.0;0.0;60.08;496.62;0.0;2010.58
2020;259;366;219_001;solnu;;118.54;0.0;63.51;18.23;0.0;64.66;64.01;0.0;0.0;0.0;0.0;0.0;102.72;0.0;0.0
2020;1;151;319_001;solnu;;155.09;0.0;0.0;0.0;0.0;0.0;49.58;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2020;152;258;319_001;arachide;arachide_precmil;178.05;0.04;273.98;19.69;0.0;0.0;0.0;61.98;61.98;0.0;0.0;60.18;496.62;0.0;2010.58
2020;259;366;319_001;solnu;;118.36;0.0;63.52;17.51;0.0;61.98;61.35;0.0;0.0;0.0;0.0;0.0;102.72;0.0;0.0
2020;1;151;419_001;solnu;;155.09;0.0;0.0;0.0;0.0;0.0;49.68;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2020;152;258;419_001;arachide;arachide_precmil;178.05;0.04;273.85;19.74;0.0;0.0;0.0;62.11;62.11;0.0;0.0;60.19;496.62;0.0;2010.58
2020;259;366;419_001;solnu;;118.4;0.0;63.51;17.66;0.0;62.11;61.48;0.0;0.0;0.0;0.0;0.0;102.72;0.0;0.0
2020;1;151;519_001;solnu;;155.09;0.0;0.0;0.0;0.0;0.0;49.68;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2020;152;258;519_001;mil;mil_precarachide;145.51;15.84;290.54;13.69;0.0;0.0;0.0;62.11;62.11;0.0;0.0;60.32;496.62;0.0;1800.69
2020;259;366;519_001;solnu;;118.4;0.0;63.51;17.66;0.0;62.11;61.02;0.0;0.0;0.0;0.0;0.0;102.72;0.0;0.0
2020;1;151;619_001;solnu;;155.09;0.0;0.0;0.0;0.0;0.0;49.58;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2020;152;258;619_001;arachide;arachide_precmil;178.05;0.04;273.98;19.69;0.0;0.0;0.0;61.98;61.98;0.0;0.0;60.18;496.62;0.0;2010.58
2020;259;366;619_001;solnu;;118.36;0.0;63.52;17.51;0.0;61.98;61.35;0.0;0.0;0.0;0.0;0.0;102.72;0.0;0.0
2020;1;151;719_001;solnu;;155.09;0.0;0.0;0.0;0.0;0.0;49.36;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2020;152;258;719_001;arachide;arachide_precmil;178.03;0.04;274.28;19.64;0.0;0.0;0.0;61.7;61.7;0.0;0.0;60.19;496.62;0.0;2010.58
2020;259;366;719_001;solnu;;118.32;0.0;63.52;17.32;0.0;61.7;61.07;0.0;0.0;0.0;0.0;0.0;102.72;0.0;0.0
