annee;date;parcelle;exploitation;culture;ITK;OT;temps[h];profondeur[cm];RECOLTE_rendement[t/ha];RECOLTE_risqueEchaudage[%];RECOLTE_impactGel[%];IRRIGATION_dose[mm];IRRIGATION_reelle[mm];FERTI_produit;FERTI_nature;FERTI_annulee;FERTI_doseBruteOrg[kg/ha];FERTI_apportNminTheorique[kg/ha];FERTI_apportNminReel[kg/ha];FERTI_apportNorg_labile[kg/ha];FERTI_apportNorg_recalcitrant[kg/ha];BIOMASSE_export[t/ha];BIOMASSE_aer_restit[t/ha];BIOMASSE_rac_restit[t/ha];N_export[kg/ha];C_export[kg/ha];id_lot;nb_ugb;duree_pature[j];herbe_consommee[kg]
2019;121;319_001;SSM1-0009;mil;mil_precarachide;TRAVAIL_SOL;24.67;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;258;419_001;SSM1-0013;mil;mil_precarachide;RECOLTE;22.96;0.0;0.2;;;;;;;;;;;;;0.0;0.21;2.26;;;;;;
2019;152;419_001;SSM1-0013;mil;mil_precarachide;SEMIS;0.29;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;121;419_001;SSM1-0013;mil;mil_precarachide;TRAVAIL_SOL;9.86;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;258;519_001;SSM1-0032;arachide;arachide_precjachere;RECOLTE;26.39;0.0;0.19;;;;;;;;;;;;;0.0;0.12;1.83;;;;;;
2019;152;519_001;SSM1-0032;arachide;arachide_precjachere;SEMIS;0.34;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;121;519_001;SSM1-0032;arachide;arachide_precjachere;TRAVAIL_SOL;11.33;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;258;619_001;SSM1-0037;mil;mil_precarachide;RECOLTE;12.71;0.0;0.2;;;;;;;;;;;;;0.0;0.21;2.26;;;;;;
2019;152;619_001;SSM1-0037;mil;mil_precarachide;SEMIS;0.16;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;121;619_001;SSM1-0037;mil;mil_precarachide;TRAVAIL_SOL;5.46;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;258;719_001;SSM1-0043;mil;mil_precarachide;RECOLTE;1.04;0.0;0.2;;;;;;;;;;;;;0.0;0.21;2.26;;;;;;
2019;152;719_001;SSM1-0043;mil;mil_precarachide;SEMIS;0.01;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;121;719_001;SSM1-0043;mil;mil_precarachide;TRAVAIL_SOL;0.45;0.0;;;;;;;;;;;;;;;;;;;;;;
2020;258;19_001;SSM1-0002;arachide;arachide_precmil;RECOLTE;10.73;0.0;0.19;;;;;;;;;;;;;0.0;0.12;1.83;;;;;;
2020;152;19_001;SSM1-0002;arachide;arachide_precmil;SEMIS;0.14;0.0;;;;;;;;;;;;;;;;;;;;;;
2020;121;19_001;SSM1-0002;arachide;arachide_precmil;TRAVAIL_SOL;4.6;0.0;;;;;;;;;;;;;;;;;;;;;;
2020;258;119_001;SSM1-0010;arachide;arachide_precmil;RECOLTE;5.07;0.0;0.19;;;;;;;;;;;;;0.0;0.12;1.83;;;;;;
2020;152;119_001;SSM1-0010;arachide;arachide_precmil;SEMIS;0.06;0.0;;;;;;;;;;;;;;;;;;;;;;
2020;121;119_001;SSM1-0010;arachide;arachide_precmil;TRAVAIL_SOL;2.18;0.0;;;;;;;;;;;;;;;;;;;;;;
2020;258;219_001;SSM1-0019;arachide;arachide_precmil;RECOLTE;45.23;0.0;0.19;;;;;;;;;;;;;0.0;0.12;1.83;;;;;;
2020;152;219_001;SSM1-0019;arachide;arachide_precmil;SEMIS;0.58;0.0;;;;;;;;;;;;;;;;;;;;;;
2020;121;219_001;SSM1-0019;arachide;arachide_precmil;TRAVAIL_SOL;19.41;0.0;;;;;;;;;;;;;;;;;;;;;;
2020;258;319_001;SSM1-0009;arachide;arachide_precmil;RECOLTE;57.48;0.0;0.19;;;;;;;;;;;;;0.0;0.12;1.83;;;;;;
2020;152;319_001;SSM1-0009;arachide;arachide_precmil;SEMIS;0.73;0.0;;;;;;;;;;;;;;;;;;;;;;
2020;121;319_001;SSM1-0009;arachide;arachide_precmil;TRAVAIL_SOL;24.67;0.0;;;;;;;;;;;;;;;;;;;;;;
2020;258;419_001;SSM1-0013;arachide;arachide_precmil;RECOLTE;22.96;0.0;0.19;;;;;;;;;;;;;0.0;0.12;1.83;;;;;;
2020;152;419_001;SSM1-0013;arachide;arachide_precmil;SEMIS;0.29;0.0;;;;;;;;;;;;;;;;;;;;;;
2020;121;419_001;SSM1-0013;arachide;arachide_precmil;TRAVAIL_SOL;9.86;0.0;;;;;;;;;;;;;;;;;;;;;;
2020;258;519_001;SSM1-0032;mil;mil_precarachide;RECOLTE;26.39;0.0;1.17;;;;;;;;;;;;;0.0;1.21;2.26;;;;;;
2020;152;519_001;SSM1-0032;mil;mil_precarachide;SEMIS;0.34;0.0;;;;;;;;;;;;;;;;;;;;;;
2020;121;519_001;SSM1-0032;mil;mil_precarachide;TRAVAIL_SOL;11.33;0.0;;;;;;;;;;;;;;;;;;;;;;
2020;258;619_001;SSM1-0037;arachide;arachide_precmil;RECOLTE;12.71;0.0;0.19;;;;;;;;;;;;;0.0;0.12;1.83;;;;;;
2020;152;619_001;SSM1-0037;arachide;arachide_precmil;SEMIS;0.16;0.0;;;;;;;;;;;;;;;;;;;;;;
2020;121;619_001;SSM1-0037;arachide;arachide_precmil;TRAVAIL_SOL;5.46;0.0;;;;;;;;;;;;;;;;;;;;;;
2020;258;719_001;SSM1-0043;arachide;arachide_precmil;RECOLTE;1.04;0.0;0.19;;;;;;;;;;;;;0.0;0.12;1.83;;;;;;
2020;152;719_001;SSM1-0043;arachide;arachide_precmil;SEMIS;0.01;0.0;;;;;;;;;;;;;;;;;;;;;;
2020;121;719_001;SSM1-0043;arachide;arachide_precmil;TRAVAIL_SOL;0.45;0.0;;;;;;;;;;;;;;;;;;;;;;
