idParcelle;surface [m2];zone_pedo;matIrr
177_001;4322.99910239212;dior_cb_sans_arbr;null
178_001;631.3139029493001;dekk_cb_avec_arbr;null
179_001;5408.35714202513;dekk_cb_sans_arbr;null
180_001;1238.4102307840799;dior_cc_avec_arbr;null
181_001;469.62206048351004;dior_cc_sans_arbr;null
182_001;1743.7966447918498;dior_cb_avec_arbr;null
183_001;6099.28797330545;dior_cb_sans_arbr;null
184_001;610.40650566689;dior_cb_avec_arbr;null
185_001;8814.28493932568;dior_cb_sans_arbr;null
186_001;6100.93793778382;dior_cc_avec_arbr;null
187_001;1861.61940016463;dior_cc_sans_arbr;null
188_001;1842.2957631923;dior_cb_sans_arbr;null
189_001;2001.6127021191398;dior_cb_sans_arbr;null
190_001;758.8278912091399;dior_cb_avec_arbr;null
191_001;3372.85372435519;dior_cb_sans_arbr;null
192_001;1267.98880664729;dior_cb_sans_arbr;null
193_001;3116.19294949353;dekk_cb_avec_arbr;null
194_001;12533.1011161975;dekk_cb_sans_arbr;null
195_001;1590.00994188583;dior_cc_avec_arbr;null
196_001;8413.040013651831;dior_cc_sans_arbr;null
197_001;658.8152058989399;dekk_cb_avec_arbr;null
198_001;3610.8267260541897;dekk_cb_sans_arbr;null
199_001;2475.58344404972;dekk_cb_sans_arbr;null
200_001;70.09281230593;dior_cb_avec_arbr;null
201_001;1252.5486527434098;dior_cb_sans_arbr;null
202_001;2317.71419534402;dior_cb_sans_arbr;null
203_001;1241.4250226628399;dior_cb_sans_arbr;null
204_001;2021.821125367;dior_cc_avec_arbr;null
205_001;1935.6882969081198;dior_cc_sans_arbr;null
206_001;2155.41725891958;dior_cc_avec_arbr;null
207_001;2853.7920742772;dior_cc_sans_arbr;null
208_001;1351.0964857537;dior_cc_avec_arbr;null
209_001;6423.8394227627805;dior_cc_sans_arbr;null
210_001;1076.9644403921;dekk_cb_avec_arbr;null
211_001;3922.35583194669;dekk_cb_sans_arbr;null
212_001;2280.70858849563;dekk_cb_avec_arbr;null
213_001;4941.18307143578;dekk_cb_sans_arbr;null
214_001;4046.70748934646;dior_cb_avec_arbr;null
215_001;12884.24988661911;dior_cb_sans_arbr;null
216_001;3675.44222499045;dekk_cb_avec_arbr;null
217_001;3196.7151211432997;dekk_cb_sans_arbr;null
218_001;1046.92102491264;dekkMbel_cb_avec_arbr;null
219_001;8095.709486681049;dekkMbel_cb_sans_arbr;null
220_001;532.12221555904;dekkMbel_cb_avec_arbr;null
221_001;1396.04151860206;dekkMbel_cb_sans_arbr;null
222_001;2653.08029340241;dekk_cb_avec_arbr;null
223_001;6461.65135251478;dekk_cb_sans_arbr;null
224_001;5553.862500786209;dior_cb_avec_arbr;null
225_001;15601.46619764278;dior_cb_sans_arbr;null
226_001;3658.4958205394005;dior_cb_avec_arbr;null
227_001;3771.7788529847303;dior_cb_sans_arbr;null
228_001;1534.92102486091;dior_cb_avec_arbr;null
229_001;6324.39595591924;dior_cb_sans_arbr;null
230_001;708.77738480951;dior_cb_avec_arbr;null
231_001;870.38774725244;dior_cb_sans_arbr;null
232_001;152.53544181066;dior_cb_avec_arbr;null
233_001;3497.59989912386;dior_cb_sans_arbr;null
234_001;3101.36443281128;dior_cc_avec_arbr;null
235_001;2011.24529887631;dior_cc_sans_arbr;null
236_001;1679.98675130667;dior_cb_avec_arbr;null
237_001;3040.38201805905;dior_cb_sans_arbr;null
238_001;1602.18392390686;dior_cb_avec_arbr;null
239_001;3522.53816432629;dior_cb_sans_arbr;null
240_001;935.03176141148;dior_cb_avec_arbr;null
241_001;2610.4283979216298;dior_cb_sans_arbr;null
242_001;3789.4932525331496;dior_cb_avec_arbr;null
243_001;5291.46767300522;dior_cb_sans_arbr;null
244_001;1256.77362629184;dior_cb_avec_arbr;null
245_001;5335.858190863601;dior_cb_sans_arbr;null
246_001;1666.8532994461698;dior_cb_avec_arbr;null
247_001;4676.08255350446;dior_cb_sans_arbr;null
248_001;298.74197754614;dior_cb_avec_arbr;null
249_001;5803.29419548157;dior_cb_sans_arbr;null
250_001;906.462513767;dekk_cb_avec_arbr;null
251_001;4718.0623099813;dekk_cb_sans_arbr;null
252_001;708.7485731153299;dior_cc_avec_arbr;null
253_001;4746.44586923548;dior_cc_sans_arbr;null
255_001;1781.36928727541;dekk_cb_avec_arbr;null
256_001;5697.94640019987;dekk_cb_sans_arbr;null
257_001;127.72247447931;dior_cb_avec_arbr;null
258_001;7801.0663440404705;dior_cb_sans_arbr;null
259_001;563.04546713277;dior_cb_avec_arbr;null
260_001;3751.02093161151;dior_cb_sans_arbr;null
261_001;3093.99338151602;dior_cb_sans_arbr;null
262_001;5923.797976976441;dior_cb_sans_arbr;null
263_001;3140.24103166821;dior_cb_sans_arbr;null
264_001;5502.65326565326;dior_cb_sans_arbr;null
265_001;657.70327264984;dior_cb_avec_arbr;null
266_001;2629.20733917413;dior_cb_sans_arbr;null
267_001;1740.55478699221;dior_cc_avec_arbr;null
268_001;1798.67459731601;dior_cc_sans_arbr;null
269_001;7750.59925701838;dior_cc_avec_arbr;null
270_001;1750.75434640409;dior_cc_sans_arbr;null
271_001;72.62679651789;dior_cc_avec_arbr;null
272_001;2673.03543935113;dior_cc_sans_arbr;null
275_001;4848.77873237282;dekk_cb_sans_arbr;null
276_001;1185.71951155656;dior_cb_avec_arbr;null
277_001;1865.45991777526;dior_cb_sans_arbr;null
